"monthlycharges_group","total_customers","churned_customers","churn_rate_pct"
"€0–25","1389","127","9.14"
"€25–50","905","234","25.86"
"€50–75","1621","424","26.16"
"€75–100","2220","827","37.25"
"€100+","908","257","28.30"
